,price,symbol
278,14.14,MIY
279,31.415,ICHR
280,18.935,VOD
281,4.35,MACK
282,25.81,DQML
283,29.17,ASRVP
284,14.15,MUI
285,7.51,BBDO
286,22.315,VNCE
287,109.56,SRPT
288,118.955,DWAQ
289,50.2,IAT
290,0.011,SCACW
291,10.395,MAG
292,25.68,WFC-J
293,16.07,BBRC
294,26.07,CLYH
295,43.53,ENSG
296,8.83,RMCF
297,25.83,CIM-D
298,49.62,TFCFA
299,25.33,PSA-Y
300,77.35,ONEO
301,0.794,RENN
302,544.21,BH.A
303,16.135,GOAU
304,0.1059,BAA
305,9.93,JHA
306,41.325,TDIV
307,16.33,MSF
308,4.77,ISNS
309,32.44,COMT
310,5.73,JBR
311,141.05,DHIL
312,3.36,GST-A
313,23.88,QGTA
314,19.585,TIPX
315,25.7,PSA-B
316,6.48,HROW
317,0.099,LOACW
318,10.92,GSHTU
319,13.435,EDF
320,36.895,SLB
321,24.51,CTY
322,8.49,OPTN
323,5.02,GTYH
324,2.295,RIBT
325,21.865,CIVB
326,1.57,VLRX
327,0.01,OIBR^
328,1.3,KXIN
329,25.16,SGZA
330,15.585,ELP
331,116.26,LOW
332,34.385,GRVY
333,108.26,MMC
334,25.49,PPX
335,49.61,PFIS
336,88.58,UAL
337,3.5,ITRM
338,107.53,ASND
339,57.16,COF+
340,20.04,BDCS
341,21.26,XOP
342,15.2,BZH
343,2.72,CIF
344,1.56,SINT
345,13.55,ZIONZ
346,16.42,FBZ
347,42.65,JSMD
348,42.66,EIG
349,6.47,JRSH
350,17.26,IMLP
351,103.79,RWR
352,6.82,GRIN
353,75.655,DOCU
354,4.08,GCAP
355,44.26,THRM
356,24.9,UFI
357,2.36,AMS
358,50.8,IMTB
359,26.78,MER-K
360,21.665,WBIA
361,26.19,AMH-D
362,11.575,PFL
363,25.39,BRID
364,117.63,DSI
365,28.43,OUSM
366,0.85,DCIX
367,176.67,GPN
368,25.84,GLADD
369,23.03,DDR-A
370,19.825,DSL
371,8.665,NEXA
372,59.945,BMY
373,4.185,ONDK
374,68.915,DLS
375,11.32,SNDE
376,34.06,INKM
377,14.25,NTX
378,37.1,BP
379,93.06,FSV
380,35.53,ODC
381,20.49,FSMB
382,5.17,TLF
383,26.045,ATUS
384,29.625,HBB#
385,43.16,DXJS
386,12.34,DGZ
387,93.74,APTV
388,139.585,CW
389,18.62,VCEL
390,9.455,DLTH
391,286.63,DPZ
392,74.0,CATC
393,26.05,GOODM
394,74.46,RPM
395,309.65,NTES
396,12.315,BWG
397,14.71,WSTG
398,47.105,ENTG
399,24.64,FEM
400,115.135,HHC
401,19.345,EB
402,25.11,GAINN
403,7.635,DZSI
404,31.25,DIVO
405,25.065,USFR
406,25.01,GPT-A
407,18.33,THQ
408,56.99,BID
409,11.23,EARN
410,7.055,TELL
411,24.55,VRAI
412,50.06,PULS
413,27.28,RZB
414,0.9525,WISA
415,25.245,CLNS-B
416,227.655,IGV
417,106.66,SUB
418,10.13,SPAQ
419,25.75,ALL-A
420,38.96,ARE-D
421,60.06,IXP
422,26.07,WHFBZ
423,9.835,HQCL
424,0.2995,CMSSR
425,5.39,CXE
426,19.0,MRBK
427,61.29,CDLX
428,1.3,OHAI
429,0.053,IMUC
430,0.0334,CLRBW
431,11.84,FLGT
432,49.09,POWL
433,37.2,CWS
434,29.88,DSTL
435,4.985,KNDI
436,209.945,EPAM
437,18.11,MHLA
438,15.75,NRGX
439,36.24,APY#
440,0.25,HHHHR
441,6.4,KTP
442,1.34,EVGN
443,82.39,DIN
444,12.295,FCT
445,30.0,BGC
446,50.455,JPST
447,25.3,GAB-H
448,30.66,SLGN
449,3.18,GEC
450,0.46,IAMXR
451,23.79,CALF
452,14.85,RFI
453,39.415,FUT
454,63.56,BLL
455,21.85,IMAX
456,18.74,ISL
457,13.75,NXN
458,1.2,FPAC+
459,26.44,IRET-C
460,41.12,FUTY
461,33.41,NMIH
462,51.18,CFO
463,90.44,FAS
464,25.28,CIO-A
465,144.68,VEEV
466,28.35,IDLB
467,37.99,UBSI
468,20.275,IQ
469,11.235,GLDD
470,153.785,PNC
471,20.425,HFXE
472,6.92,WVVI
473,47.14,JW.B
474,29.135,KKR
475,49.33,EZA
476,10.66,GSAH=
477,18.57,AQUA
478,8.83,HEAR
479,2.36,MICR
480,29.33,IGE
481,3.44,YTRA
482,63.435,GSLC
483,14.1,HPE#
484,268.94,RE
485,82.9,CM
486,88.85,OGS
487,19.285,MYL
488,28.44,TY
489,19.86,NYLD.A
490,10.43,IHTA
491,3.21,AXTI
492,35.02,BTO
493,72.76,GLTR
494,108.925,PRAH
495,25.74,COWNZ
496,38.2,AMCX
497,309.55,FLGE
498,47.95,AGZD
499,0.105,ADOM
500,29.97,SIL
501,4.56,DAVE
502,15.12,OGCP
503,44.055,CNST
504,60.0,GDJJ
505,4.06,RELV
506,11.16,INDUU
507,0.1925,FTF^
508,126.02,CRBN
509,15.1,MSBF
510,13.14,TAPR
511,32.49,PXMV
512,71.285,CERN
513,17.01,CCB
514,50.25,EMXC
515,3.17,PACD
516,17.495,JCAP
517,8.75,XERS
518,12.325,OIH
519,103.2,KEYS
520,88.135,PTH
521,50.83,CQQQ
522,245.83,LLL
523,18.315,GTX#
524,13.58,VPV
525,1.725,NLS
526,48.61,GRI
527,117.7,VONV
528,85.44,AMG
529,20.615,MTRX
530,0.5047,BXE
531,83.055,ABAX
532,2.4,RT
533,0.0348,AST+
534,4.045,AFI
535,69.91,FXL
536,0.3,SUMR
537,2.25,ALYA
538,21.765,VCRA
539,116.84,NBIX
540,36.97,ALTS
541,42.04,TCDA
542,48.76,IBUY
543,162.39,DECK
544,79.59,JACK
545,0.5659,GURE
546,4.07,UFAB
547,5.525,MH-A
548,12.54,EOLS
549,28.18,ASHR
550,22.09,IBCP
551,30.77,JQUA
552,1.87,LEE
553,38.01,CATH
554,67.29,GDDY
555,4.155,GPRO
556,22.035,CSWC
557,30.245,FITB
558,24.86,ACV
559,5.275,MEET
560,8.085,CNTY
561,2.665,APEN
562,23.995,ECYT
563,39.795,NEM
564,103.355,GLOB
565,74.27,CIGI
566,9.9,AFSI-D
567,0.281,PAVMZ
568,7.525,USOD
569,40.93,AGIO
570,52.62,IOO
571,20.25,FLKR
572,27.27,IIGV
573,10.415,FBP
574,92.84,LYB
575,14.59,AUTL
576,29.02,TIER
577,23.125,PENN
578,104.88,FXE
579,21.905,RDUS
580,4.995,PACB
581,9.93,IIJI
582,41.22,FXI
583,55.25,USRT
584,10.1,HCAC
585,115.32,AGU
586,21.26,MPW
587,51.77,IEMG
588,12.975,EVN
589,60.46,PZZA
590,199.275,RETA
591,31.42,EYLD
592,12.805,ESND
593,27.555,GS-K
594,20.47,EMBU
595,68.82,PPA
596,29.32,IVAL
597,17.695,NVTA
598,7.715,NPTN
599,24.5,MINDP
600,1.88,OSPRW
601,14.3,ERH
602,40.445,YLD
603,25.435,ALL-E
604,46.7,FONE
605,27.41,WCHN
606,61.18,GSBC
607,0.1855,GLU^
608,5.44,TATT
609,20.61,FGBI
610,2.26,UUUU
611,37.79,FNBG
612,35.18,WMW
613,50.94,TUZ
614,19.68,MNRL
615,25.77,SLDD
616,14.215,NQP
617,10.995,CHI
618,19.0,HPS
619,17.51,CHIR
620,86.395,SBUX
621,13.965,IAU
622,81.195,ES
623,9.83,NGL
624,10.625,KNSA
625,4.15,APTX
626,11.615,VRA
627,8.75,NICK
628,1.46,PRSS
629,4.665,BRAC
630,10.145,CPLG
631,25.79,KEY-K
632,25.96,FWDB
633,266.365,MSCI
634,38.65,TU
635,0.03,CETXW
636,5.835,ATXI
637,63.35,BF.B
638,12.355,ETY
639,0.01,HMNY
640,4.725,STDY
641,21.95,RDIB
642,148.19,SPG
643,63.3,SKYW
644,2.66,PPSI
645,35.37,MDP
646,3.0,GRU
647,79.77,DVMT
648,143.8,CAPE
649,10.42,NIM
650,29.64,AIMT
651,35.195,SILK
652,2.835,PTE
653,131.24,MDB
654,7.55,LOGC
655,153.84,GLDW
656,80.71,URTY
657,10.83,ARCT
658,0.9152,AKG
659,25.77,PVAC
660,251.36,IDXX
661,26.0,UNMA
662,2.385,INO
663,7.355,DHT
664,27.3,BSRR
665,3.88,NSYS
666,84.185,INDB
667,21.65,AHT-H
668,5.85,VKTXW
669,10.52,IHIT
670,34.75,FFTY
671,26.02,AFGH
672,7.325,VKTX
673,20.75,FKO
674,6.58,XSPL
675,4.91,TRMT
676,26.7,LVHI
677,21.625,ASB
678,150.63,COUP
679,26.11,GDV-A
680,16.13,HZO
681,55.63,RUSL
682,50.475,JMST
683,24.2,ETP-E
684,25.88,IVR-C
685,14.74,ABE
686,0.14,FSNN
687,82.15,XPO
688,98.52,XSD
689,369.18,MDY
690,41.235,WRK
691,215.96,AVB
692,73.52,EXPD
693,5.14,CTK
694,4.81,INMB
695,1.28,XTLB
696,1.11,IDSA
697,30.79,HSII
698,23.05,FCBP
699,53.93,BX
700,125.92,IEI
701,33.785,FII
702,171.45,MMM
703,21.47,BSCM
704,2.18,NTIP
705,1.325,TRPX
706,25.285,HWCPL
707,8.655,OR
708,331.37,ULTI
709,34.91,USM
710,80.91,H
711,20.91,GSBD
712,0.62,TLGT
713,2.38,MLNK
714,2.83,YCBD
715,81.01,D
716,4.515,RBPAA
717,26.1,VLY-A
718,43.705,MIME
719,27.0,BEN
720,12.7,PSMM
721,124.68,LEA
722,41.67,INS
723,0.2251,ESTR
724,1173.82,AZO
725,53.565,IGSB
726,25.245,IBDN
727,0.535,COCP
728,2.23,HYRE
729,10.41,RWGE=
730,88.78,RSG
731,29.27,BIBL
732,4.11,SEAC
733,40.825,HECO
734,118.27,GBF
735,12.48,IRWD
736,106.27,SWP
737,86.33,CNBKA
738,24.68,VIDI
739,11.185,FRO
740,33.52,IBND
741,47.73,CDC
742,27.17,FOCS
743,34.46,SCHC
744,17.91,YINN
745,18.7,MANU
746,24.97,UFO
747,1.195,TENX
748,52.765,XLC
749,6.555,BLDP
750,122.75,VIG
751,445.57,ORLY
752,12.08,MACQU
753,3.37,PYDS
754,54.58,FDT
755,52.645,CRAI
756,4.37,ISSC
757,0.4865,SRRA
758,25.56,DOD
759,3.7,IEA
760,14.39,SPTN
761,80.09,DXC#
762,238.89,EW
763,183.91,PODD
764,34.86,CFX
765,104.32,PYPL
766,89.88,RHP
767,25.57,AEK
768,4.74,PIM
769,4.225,CAAP
770,495.81,BLK
771,26.455,ESGRO
772,65.99,GASX
773,2.41,PHCF
774,97.99,WTS
775,43.74,WK
776,2.68,AEMD
777,10.5,ALACU
778,14.685,TWO
779,1.095,NE
780,22.44,PBP
781,42.5,FGM
782,0.65,XCO
783,13.98,NAVI
784,6.2,RUHN
785,47.89,XEC
786,0.1709,TBLT
787,30.005,INVH
788,2.465,AUO
789,27.0,DUK-A
790,0.603,JAGX
791,23.78,HDEF
792,44.0,SHLM
793,183.55,GD
794,12.29,SMHI
795,5.625,FSC
796,58.17,USIG
797,1.555,SLNO
798,14.05,SGOL
799,16.0,VNE
800,14.345,FCF
801,21.82,NBB
802,17.37,ETH
803,42.04,BOOT
804,23.49,CLDB
805,25.81,EWCO
806,49.15,YANG
807,0.5596,ADMP
808,74.0,LGIH
809,1.08,FTSI
810,52.64,VEU
811,10.4,GSAH
812,1.805,SBBP
813,43.36,JJS
814,14.33,HEQ
815,19.71,SHLX
816,0.93,CLIR
817,14.675,HDP
818,48.815,TOTL
819,10.67,FTACU
820,3.94,ESDI
821,26.44,GDVD
822,0.03,OXBRW
823,26.63,PBCTP
824,135.5,CCI
825,18.99,CHK-D
826,16.445,SMHB
827,30.99,ATRC
828,29.94,CBTX
829,129.67,SUSA
830,52.205,BIP
831,1.95,AEHR
832,25.88,CUBI-F
833,22.26,NAV-D
834,4.58,DZZ
835,134.8,MAA
836,3.29,CVV
837,138.51,VAR
838,19.95,GSOL
839,8.01,GILT
840,120.02,IBB
841,24.98,AEK*
842,4.12,VVR
843,10.805,MAV
844,4.115,CPE
845,5.8,SECO
846,19.72,HAFC
847,80.82,QWLD
848,3.185,LYG
849,26.4,NSTG
850,0.6951,SEII
851,0.917,ACHV
852,1.67,NMCI
853,151.76,MSFT
854,11.455,CHY
855,133.92,PXD
856,10.085,DEX
857,4.015,VRAY
858,53.785,EAGG
859,53.12,LNT
860,15.29,LSBK
861,21.41,BFIT
862,34.25,USLB
863,10.27,LFAC
864,10.96,PVT=
865,1.66,DOGZ
866,6.635,MCN
867,10.155,VLRS
868,101.38,COF
869,1.52,FH
870,13.36,CSQ
871,25.2,SITC-J
872,0.19,GLACW
873,10.08,DFBHU
874,0.6636,NVLN
875,24.575,CEA
876,85.83,CR
877,0.4825,HJLI
878,13.37,NTIC
879,34.41,EPU
880,16.805,UMPQ
881,0.079,AREX
882,19.94,ETRN#
883,12.275,VKQ
884,59.19,IBTX
885,1.9,BOSC
886,42.205,CARO
887,41.84,UTES
888,14.695,BPMP
889,22.05,EMMF
890,30.98,PBF
891,10.21,TKKS
892,159.54,MKC.V
893,1.13,FRSX
894,25.36,PSA-Z
895,25.31,CWI
896,199.73,FIHD
897,0.9217,BTX
898,25.96,PFFA
899,64.545,ARGO
900,0.7499,AIHS
901,1.975,UONEK
902,1.81,PRPH
903,25.33,ELU
904,112.965,CHKP
905,23.905,CTRL
906,13.27,HRTG
907,27.72,OMOM
908,0.5476,OGEN
909,20.76,DIAL
910,10.22,CHAC=
911,42.445,INTL
912,200.025,WEX
913,43.67,LOGI
914,19.1,ARD
915,60.355,AEM
916,25.805,TGP-B
917,7.18,BKD
918,17.91,GCC
919,125.04,TGT
920,13.1,HILO
921,27.28,HFWA
922,25.43,AIB
923,285.89,MSG
924,16.83,EOCC
925,44.655,BBL
926,17.25,JYNT
927,41.7,PAWZ
928,0.27,NDRAW
929,4.505,CETV
930,9.07,LBRT
931,4.12,VRNA
932,845.01,USB-A
933,21.705,CHAU
934,25.69,AGO-F
935,15.11,COWN
936,0.5889,TRQ
937,85.04,W
938,19.505,AGGE
939,122.21,WWD
940,58.31,IGRO
941,57.175,TXRH
942,24.95,NGHCN
943,25.24,ESQ
944,18.735,ARCC
945,25.135,HDAW
946,4.11,ARMP
947,101.03,GWPH
948,2.16,HCHC
949,25.1,BSJI
950,6.295,FSK
951,28.59,DBGR
952,15.81,SDP
953,21.985,TS
954,3.99,CEPU
955,0.282,XPL
956,16.25,GNOM
957,32.02,ACES
958,4.9,AEYE
959,25.275,BLDR
960,8.42,TGLS
961,30.64,SCPB
962,37.13,SHG
963,27.48,CFG-D
964,35.49,SFBC
965,25.4,TWO-D
966,0.6946,FTR
967,26.3,GBLIL
968,71.275,CSX
969,17.57,GDO
970,9.22,MEC
971,19.165,HALO
972,76.99,PEGA
973,25.555,TDTF
974,28.71,EML
975,1.23,LYL
976,18.93,ALDR
977,10.43,LACQU
978,0.265,CNACR
979,7.77,DL
980,26.41,ISZE
981,184.27,ODFL
982,5.68,BGY
983,11.92,BSM
984,3.645,UEPS
985,47.625,DGRW
986,5.67,WRTC
987,272.2,NOW
988,25.915,AGO-E
989,16.625,DBI
990,9.085,MVC
991,17.89,ATNX
992,44.44,RYJ
993,82.1,BBY
994,52.13,ENR
995,27.505,OLP
996,22.155,FMBI
997,9.22,IRL
998,32.68,JHMC
999,18.625,OVLY
1000,28.6,WFC-R
1001,14.655,BQH
1002,25.39,KAP
1003,6.025,GCI
1004,97.055,HDV
1005,14.46,CORN
1006,17.66,AKCA
1007,6.45,FRSH
1008,43.115,OMF
1009,9.385,ERA
1010,0.4532,GGZ^
1011,25.56,GAINM
1012,14.3,IGT
1013,107.98,CRMT
1014,9.38,JOF
1015,3.6,OMEX
1016,24.69,NTGR
1017,79.96,TDOC
1018,0.35,ANDAR
1019,21.19,RENX
1020,8.065,VEDL
1021,39.615,AMD
1022,16.195,PDBC
1023,0.06,DHCP+B
1024,35.06,TUSA
1025,14.955,NAC
1026,20.92,ZTO
1027,25.915,AGYS
1028,22.25,TRN#
1029,21.02,CXP
1030,59.78,PXQ
1031,3.14,HMY
1032,25.7,VZA
1033,25.78,GMTA
1034,37.45,INTG
1035,10.26,SLVP
1036,16.77,ARVR
1037,25.015,MTSI
1038,25.36,EDOW
1039,10.31,OPESU
1040,3.1,TCON
1041,25.55,GBLIZ
1042,166.17,RNG
1043,6.485,ERF
1044,8.69,SIM
1045,29.4,FLQE
1046,40.92,GRID
1047,73.095,PLPC
1048,25.205,OGIG
1049,14.11,FMN
1050,28.26,NS
1051,25.53,ANH-C
1052,29.37,IETC
1053,2.95,AKER
1054,35.69,RSXJ
1055,20.345,UE
1056,14.07,NUM
1057,42.29,FR
1058,1.13,NH
1059,12.16,NRCG
1060,14.48,ABCD
1061,51.855,PLMR
1062,17.905,NXGN
1063,202.91,CVCO
1064,25.825,ISF
1065,98.91,TWX
1066,54.81,BHVN
1067,24.99,SNV-C*
1068,25.23,HT-E
1069,9.68,MGNX
1070,10.86,CELC
1071,25.52,ASB-C
1072,25.345,DLR-G
1073,25.75,KLIC
1074,26.13,NSA-A
1075,31.27,NEED
1076,1.42,ABAC
1077,0.72,CETXP
1078,16.75,GHL
1079,22.955,GRFS
1080,25.25,CORR-A
1081,0.2341,IPCI
1082,6.425,BDSI
1083,37.56,SPVU
1084,103.72,FXS
1085,2.4,GNCA
1086,25.67,THGA
1087,18.53,FRAN
1088,3.64,SMIT
1089,4.7,ITUS
1090,20.98,ALEX
1091,27.34,TRTN-A
1092,44.855,EXC
1093,3.12,PANL
1094,12.0,PVBC
1095,26.06,AAWW
1096,25.23,IPLDP
1097,40.88,EEV
1098,18.81,BCEI
1099,11.57,HMI
1100,47.51,UGE
1101,25.18,PAGG
1102,120.19,RS
1103,10.96,ARYAU
1104,20.97,FFIC
1105,2.5,NAP
1106,26.94,BERN
1107,6.805,NCMI
1108,7.29,IDN
1109,13.005,SDEM
1110,25.165,QTRX
1111,316.68,IVV
1112,5.69,HMHC
1113,22.01,AIRT
1114,43.16,SFST
1115,14.0,ATRA
1116,26.84,PNC-P
1117,26.21,GCV-B
1118,64.44,SAGE
1119,56.56,KBWB
1120,15.6,SMCI
1121,11.095,GE
1122,3.345,GSS
1123,5.0,ETM
1124,51.755,BHP
1125,9.925,OPBK
1126,0.667,CBAK
1127,1.285,TTOO
1128,7.805,CVM
1129,80.075,MEDP
1130,100.375,STIP
1131,147.065,VMW
1132,23.92,PLT
1133,50.69,GDL-C
1134,35.68,DEUS
1135,11.31,GTT
1136,27.245,PSA-H
1137,0.6212,GSV
1138,30.755,EYE
1139,34.26,JHMU
1140,94.46,FTSD
1141,8.9,PLTM
1142,13.0,SPNE
1143,0.49,BIOX+
1144,20.565,SIG
1145,0.8894,STAF
1146,2.42,TTPH
1147,2.77,WORX
1148,15.95,LEGH
1149,69.13,ESGU
1150,26.66,GAM-B
1151,34.95,JHMH
1152,17.165,BILI
1153,10.575,EQFN
1154,35.47,RVI
1155,45.0,GNR
1156,58.63,WBA
1157,8.835,AROC
1158,24.1,VST
1159,15.43,NBH
1160,0.825,PFMT
1161,36.36,KLDW
1162,16.7,LBAI
1163,58.28,RPT-D
1164,44.4,AJRD
1165,0.28,PRTO
1166,7.94,NNA
1167,205.37,ESGR
1168,72.66,TOK
1169,11.51,ET
1170,3.585,AWRE
1171,30.03,EWEM
1172,211.18,IWO
1173,26.34,KKR-A
1174,46.44,PNC+
1175,4.07,ZAIS
1176,158.97,SUI
1177,0.4521,XGTI
1178,26.24,PFIG
1179,20.405,GNL
1180,43.35,BWA
1181,1.26,AMBO
1182,1.32,ALJJ
1183,13.29,MGTA
1184,1.53,CFCOW
1185,26.005,RILYH
1186,16.455,BREW
1187,25.68,FLSW
1188,1.82,MOTS
1189,17.82,PZI
1190,47.17,LTC
1191,30.09,GSJY
1192,34.03,OPI
1193,88.09,PRXL
1194,17.68,TCRR
1195,37.97,KTB#
1196,50.985,SFLY
1197,37.765,XRX
1198,11.39,CFBI
1199,2.045,ETRM
1200,0.03,CERCW
1201,5.545,SXC
1202,0.2551,PRKR
1203,0.7404,CHFS
1204,24.515,EMLP
1205,9.77,IAM
1206,44.02,JJG
1207,28.915,CAG
1208,1.58,FNTEW
1209,1.085,OIBR.C
1210,7.86,DBVT
1211,50.175,SFHY
1212,23.65,HEWU
1213,19.38,GES
1214,15.005,RQI
1215,28.82,DBAW
1216,7.7,CODA
1217,44.64,APO
1218,134.01,SMH
1219,48.395,FE
1220,47.385,BERY
1221,17.215,OLN
1222,16.58,CWCO
1223,52.55,BBUS
1224,12.71,CHII
1225,22.645,TVTY
1226,9.5,LGF.A
1227,53.24,DOW
1228,32.64,FLQM
1229,4.85,PRCP
1230,40.77,FOXBV
1231,30.56,GSD
1232,1.415,EMX
1233,67.01,IXG
1234,4.075,ORBC
1235,5.91,GCV
1236,32.18,GXP
1237,8.97,CCR
1238,26.2,MGR
1239,29.93,ESGS
1240,5.83,TSI
1241,108.3,CELG
1242,27.27,KOR
1243,15.655,SKT
1244,26.6,DLBR
1245,0.3663,HOS
1246,15.545,TERP
1247,11.67,JTA
1248,5.05,YI
1249,245.45,CP
1250,24.9,BFST
1251,56.22,ECOL
1252,30.165,NUMV
1253,25.07,HTGX
1254,0.1601,EPE
1255,50.25,GNMA
1256,23.01,CVY
1257,10.515,CNHI
1258,32.0,BAB
1259,18.47,COPX
1260,25.315,CTW
1261,11.805,AVYA
1262,9.97,NXEO
1263,76.49,SCJ
1264,3.605,RLH
1265,11.585,SPFF
1266,3.745,AKRX
1267,31.66,ALLY
1268,74.52,PLNT
1269,54.64,CWB
1270,9.86,BXC
1271,71.795,AAXN
1272,3.06,YUMA
1273,64.265,SXT
1274,71.53,SPYB
1275,57.045,CSGS
1276,32.34,KCNY
1277,113.88,MUB
1278,12.9,AZRE
1279,15.195,AEO
1280,2.115,SPI
1281,8.24,TLRA
1282,57.345,RDS.B
